account,date,daily_pnl,trades_count,win_rate,avg_trade_size,long_ratio,sentiment,frequency_segment,pnl_std,consistency_segment,profit_bucket,sentiment_encoded
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-11,0.0,177,0.0,5089.718248587571,0.0,Extreme Greed,Frequent,150401.79734551374,Inconsistent,0,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-17,0.0,68,0.0,7976.664411764705,0.0,Extreme Greed,Frequent,150401.79734551374,Inconsistent,0,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-18,0.0,40,0.0,23734.5,0.0,Extreme Greed,Frequent,150401.79734551374,Inconsistent,0,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-22,-21227.0,12,0.0,28186.666666666668,1.0,Extreme Greed,Infrequent,150401.79734551374,Inconsistent,0,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-26,1603.1,27,0.4444444444444444,17248.14814814815,0.4444444444444444,Extreme Greed,Infrequent,150401.79734551374,Inconsistent,1,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-28,-132271.0,82,0.0,16058.536341463414,1.0,Extreme Greed,Frequent,150401.79734551374,Inconsistent,0,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-11-30,0.0,23,0.0,48561.68565217392,0.0,Extreme Greed,Infrequent,150401.79734551374,Inconsistent,0,
0x083384f897ee0f19899168e3b1bec365f52a9012,2024-12-06,-175611.00005600002,33,0.0,36736.36242424243,1.0,Greed,Frequent,150401.79734551374,Inconsistent,0,1.0
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-19,71393.964098,465,0.04946236559139785,11410.954021505377,0.24086021505376345,Extreme Greed,Frequent,150401.79734551374,Inconsistent,1,
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-01-20,40218.599998,51,0.5490196078431373,9400.588039215687,0.5490196078431373,Extreme Greed,Frequent,150401.79734551374,Inconsistent,1,
0x083384f897ee0f19899168e3b1bec365f52a9012,2025-02-02,76710.0,10,0.9,185847.0,0.9,Greed,Infrequent,150401.79734551374,Inconsistent,1,1.0
